tarih,toplam_konut_kredisi_milyon_tl,konut_fiyat_endeksi
2021-01-31,13927,98.48729538881113
2021-02-28,16006,106.24829263742319
2021-03-31,18356,110.73165875383758
2021-04-30,22246,112.93425999121783
2021-05-31,28395,120.8407829975967
2021-06-30,36093,119.69568942415586
2021-07-31,43739,124.97950959458507
2021-08-31,46541,129.84282327986247
2021-09-30,53646,135.834198599732
2021-10-31,58446,140.20211806483468
2021-11-30,64822,146.16847528030394
2021-12-31,68501,149.54335329827444
2022-01-31,13300,157.98411153412601
2022-02-28,17199,156.53380875269343
2022-03-31,20539,162.64876441712536
2022-04-30,25499,169.94578473710396
2022-05-31,29030,170.61899684050948
2022-06-30,36799,181.4029661947627
2022-07-31,41233,180.70088788228762
2022-08-31,49020,186.5928153052367
2022-09-30,52920,190.42759998460275
2022-10-31,57383,195.26721219434518
2022-11-30,64376,201.75618847412892
2022-12-31,69589,207.16946533483076
2023-01-31,14708,209.0447760762098
2023-02-28,17736,217.8835548700693
2023-03-31,22387,219.8407775081652
2023-04-30,28414,222.83592165285452
2023-05-31,33297,227.46717245180318
2023-06-30,39528,233.88343174512997
2023-07-31,45031,238.9372277053857
2023-08-31,50808,243.10402017418028
2023-09-30,55173,244.42124889354602
2023-10-31,62051,250.21927255227365
2023-11-30,67818,258.149154686452
2023-12-31,72833,263.0108719651092
2024-01-31,14859,268.2076890326457
2024-02-29,20267,267.90484954711286
2024-03-31,22269,271.7022387842419
2024-04-30,25158,280.7321864523346
2024-05-31,31871,283.95183034527895
2024-06-30,36397,287.85233327458974
2024-07-31,39824,297.9153689691637
2024-08-31,43935,297.3601096377093
2024-09-30,49188,304.5778297375768
2024-10-31,55567,305.07832301414606
2024-11-30,61463,313.4688389792808
2024-12-31,68952,314.7140307377523
2025-01-31,13998,322.91870447891097
2025-02-28,18990,327.52762628612294
2025-03-31,24365,327.63585571007394
2025-04-30,30314,337.19456362754875
2025-05-31,33120,341.55764479864615
2025-06-30,37340,345.47185035657805
2025-07-31,39614,349.448513210565
2025-08-31,43854,353.9027211158
2025-09-30,50387,357.3038868119565
2025-10-31,54125,360.6780206785352
2025-11-30,60494,364.28040368083134
2025-12-31,68198,373.0460202219063
2026-01-31,11549,380.6762237770012
2026-02-28,14167,380.7846548381235
2026-03-31,16184,389.8177183174972
2026-04-30,18672,390.77526563729316
2026-05-31,24091,395.2325684531661
2026-06-30,28832,400.0079151879752
